Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;ALIRIOFON;20:CF:30:03:1F:B2;;8;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:07:38 2017;Mon Oct  2 19:07:44 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;BLUE;94:87:7C:69:CA:70;;11;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 19:07:41 2017;Mon Oct  2 19:07:41 2017;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Movistar_15405316;E0:41:36:9F:F7:70;;1;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:07:36 2017;Mon Oct  2 19:07:43 2017;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;ARRIS-D332;14:CF:E2:4A:D3:30;;1;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:07:36 2017;Mon Oct  2 19:07:36 2017;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;BRUNO;90:00:4E:2B:D4:4B;;9;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:07:39 2017;Mon Oct  2 19:07:39 2017;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Juangonzalez;5C:57:1A:D8:9D:90;;11;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:07:41 2017;Mon Oct  2 19:07:41 2017;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;DIONY;90:1A:CA:C9:5E:D0;;11;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:07:37 2017;Mon Oct  2 19:07:41 2017;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;ingrid parada 93;F4:B8:A7:D4:67:04;;4;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 19:07:40 2017;Mon Oct  2 19:07:40 2017;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;ARRIS-0492;BC:CA:B5:D8:04:90;;6;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 19:07:40 2017;Mon Oct  2 19:07:42 2017;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;FA:8F:CA:6E:01:AE;;8;No;OPN,None;No;54.0;0;6;0;0;0;0;0;;;Mon Oct  2 19:07:38 2017;Mon Oct  2 19:07:44 2017;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;CLAUS;90:1A:CA:C9:33:70;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:07:40 2017;Mon Oct  2 19:07:42 2017;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;FAMILIA GUEVARA;90:0D:CB:C0:18:50;;7;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 19:07:36 2017;Mon Oct  2 19:07:43 2017;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
