Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
13;infrastructure;814912535132;98:97:D1:53:69:C8;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;4;0;0;0;0;0;;;Mon Oct  2 18:50:11 2017;Mon Oct  2 18:50:16 2017;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;123456789j;78:71:9C:08:50:30;;8;No;WPA2,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Mon Oct  2 18:50:08 2017;Mon Oct  2 18:50:14 2017;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;;00:15:6D:1A:85:6E;;4;No;WPA,AES-CCM,TKIP;No;54.0;0;1;0;1;0;0;1;;;Mon Oct  2 18:50:10 2017;Mon Oct  2 18:50:10 2017;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;LEIDY;94:87:7C:64:36:20;;9;No;WPA2,AES-CCM,TKIP;No;54.0;0;10;0;0;0;0;0;;;Mon Oct  2 18:50:07 2017;Mon Oct  2 18:50:16 2017;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Tech_D0016651;D0:B2:C4:22:5B:BC;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;9;0;0;0;0;0;;;Mon Oct  2 18:50:06 2017;Mon Oct  2 18:50:15 2017;-41;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;HouseofPain;04:A1:51:E0:CE:26;;8;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Mon Oct  2 18:50:08 2017;Mon Oct  2 18:50:16 2017;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;ZAMORAM;E4:77:23:71:DE:14;;3;No;WPA2,AES-CCM,TKIP;No;54.0;0;14;0;3;0;0;3;;;Mon Oct  2 18:50:06 2017;Mon Oct  2 18:50:15 2017;-42;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;Wi-Fi;06:A1:51:E0:CE:27;;8;No;WPA2,AES-CCM;No;54.0;0;9;0;0;0;0;0;;;Mon Oct  2 18:50:08 2017;Mon Oct  2 18:50:16 2017;-35;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;FibraETBD0BC;8C:E1:17:88:D0:BC;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:50:12 2017;Mon Oct  2 18:50:12 2017;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;CASADECHELA;D0:60:8C:FA:32:4E;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:50:12 2017;Mon Oct  2 18:50:12 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
