Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;ALEGRIA;C4:6E:1F:6A:2E:1B;;7;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:03:09 2017;Mon Oct  2 18:03:15 2017;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ARRIS-A012;BC:CA:B5:DC:A0:10;;3;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:03:10 2017;Mon Oct  2 18:03:17 2017;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Movistar_15163834;98:97:D1:25:B4:08;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:03:13 2017;Mon Oct  2 18:03:14 2017;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;CASADECHELA;D0:60:8C:FA:32:4E;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:16 2017;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;DIONY;90:1A:CA:C9:5E:D0;;11;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 18:03:09 2017;Mon Oct  2 18:03:15 2017;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;ARRIS-D332;14:CF:E2:4A:D3:30;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:15 2017;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;gomezalv;90:0D:CB:4F:59:D0;;11;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Mon Oct  2 18:03:09 2017;Mon Oct  2 18:03:15 2017;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;FA:8F:CA:6E:01:AE;;8;No;OPN,None;No;54.0;0;5;0;0;0;0;0;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:16 2017;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Movistar_15176529;08:6A:0A:04:C8:52;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;1;0;0;1;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:14 2017;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;FibraETBD0BC;8C:E1:17:88:D0:BC;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;0;0;0;0;0;0;;;Mon Oct  2 18:03:09 2017;Mon Oct  2 18:03:09 2017;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
