Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
11;infrastructure;;00:15:6D:1A:85:6E;;4;No;WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:03:12 2017;Mon Oct  2 18:03:12 2017;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;MARTIN TORRES;AC:64:62:DE:F8:B0;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:15 2017;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;814912535132;98:97:D1:53:69:C8;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;8;0;2;0;0;2;;;Mon Oct  2 18:03:09 2017;Mon Oct  2 18:03:18 2017;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;CRISTIAN;CC:7B:35:A2:A1:E8;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:15 2017;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;123456789j;78:71:9C:08:50:30;;8;No;WPA2,AES-CCM;No;54.0;0;6;0;2;0;0;2;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:16 2017;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;JOSE MENDEZ;70:54:D2:33:18:E4;;9;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 18:03:11 2017;Mon Oct  2 18:03:17 2017;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;LEIDY;94:87:7C:64:36:20;;9;No;WPA2,AES-CCM,TKIP;No;54.0;0;7;0;0;0;0;0;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:18 2017;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;ZAMORAM;E4:77:23:71:DE:14;;3;No;WPA2,AES-CCM,TKIP;No;54.0;0;7;0;0;0;0;0;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:17 2017;-41;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;Tech_D0016651;D0:B2:C4:22:5B:BC;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:15 2017;-43;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;Wi-Fi;06:A1:51:E0:CE:27;;8;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:16 2017;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;HouseofPain;04:A1:51:E0:CE:26;;8;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Mon Oct  2 18:03:08 2017;Mon Oct  2 18:03:18 2017;-21;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
