Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Juangonzalez;5C:57:1A:D8:9D:90;;11;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Oct  2 19:03:22 2017;Mon Oct  2 19:03:24 2017;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;BRUNO;90:00:4E:2B:D4:4B;;9;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:03:18 2017;Mon Oct  2 19:03:27 2017;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;ARRIS-0492;BC:CA:B5:D8:04:90;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:03:19 2017;Mon Oct  2 19:03:23 2017;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;CASADECHELA;D0:60:8C:FA:32:4E;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Mon Oct  2 19:03:19 2017;Mon Oct  2 19:03:25 2017;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;814912535132;98:97:D1:53:69:C8;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:03:18 2017;Mon Oct  2 19:03:27 2017;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;FA:8F:CA:6E:01:AE;;8;No;OPN,None;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 19:03:19 2017;Mon Oct  2 19:03:25 2017;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;CLAUS;90:1A:CA:C9:33:70;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 19:03:22 2017;Mon Oct  2 19:03:24 2017;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;00:15:6D:1A:85:6E;;4;No;WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:03:21 2017;Mon Oct  2 19:03:21 2017;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;123456789j;78:71:9C:08:50:30;;8;No;WPA2,AES-CCM;No;54.0;0;6;0;0;0;0;0;;;Mon Oct  2 19:03:19 2017;Mon Oct  2 19:03:26 2017;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;DIONY;90:1A:CA:C9:5E:D0;;11;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 19:03:22 2017;Mon Oct  2 19:03:24 2017;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
