Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;ADRIANA;14:AB:F0:38:01:60;;11;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 12:20:12 2017;Mon Oct  2 12:20:13 2017;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Movistar_15405316;E0:41:36:9F:F7:70;;1;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 12:20:07 2017;Mon Oct  2 12:20:14 2017;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;02:19:BE:30:44:6B;;1;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Oct  2 12:20:07 2017;Mon Oct  2 12:20:14 2017;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;55126700;1C:3E:84:A7:CA:0E;;1;No;WEP;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 12:20:08 2017;Mon Oct  2 12:20:14 2017;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;*LA*;1C:3E:84:16:2D:5D;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 12:20:08 2017;Mon Oct  2 12:20:13 2017;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;MIRANDA;8C:09:F4:89:1B:C0;;6;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 12:20:11 2017;Mon Oct  2 12:20:13 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ALIRIOFON;20:CF:30:03:1F:B2;;8;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 12:20:09 2017;Mon Oct  2 12:20:16 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;SERGIO;E0:69:95:58:C8:39;;3;No;WPA2,TKIP;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 12:20:10 2017;Mon Oct  2 12:20:16 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;HERCULES ;90:C7:92:44:C1:80;;9;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 12:20:11 2017;Mon Oct  2 12:20:11 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;814912535132;98:97:D1:53:69:C8;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;1;0;0;1;;;Mon Oct  2 12:20:12 2017;Mon Oct  2 12:20:13 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
